BAIRRO;LATITUDE;LONGITUDE;REGIAO;QTD_REGISTROS
DEL CASTILHO;-22.8753;-43.2789;Zona Norte;21
IPANEMA;-22.9847;-43.2044;Zona Sul;21
ACARI;-22.9068;-43.1729;Centro;21
GRAJAU;-22.9236;-43.2637;Zona Norte;20
SAMPAIO;-22.9068;-43.1729;Centro;19
ALTO DA BOA VISTA;-22.9667;-43.2833;Zona Oeste;19
CENTRO;-22.9068;-43.1729;Centro;18
FREGUESIA;-22.9333;-43.3333;Zona Oeste;18
CAJU;-22.8808;-43.2197;Zona PortuÃ¡ria;17
ROCHA;-22.905;-43.2419;Zona Norte;17
PRACA SECA;-22.8964;-43.3525;Zona Oeste;17
HIGIENOPOLIS;-22.9068;-43.1729;Centro;17
PARQUE ANCHIETA;-22.9068;-43.1729;Centro;17
TANQUE;-22.9139;-43.3614;Zona Oeste;15
VISTA ALEGRE;-22.83;-43.3383;Zona Norte;15
CACUIA;-22.9068;-43.1729;Centro;15
CAMPINHO;-22.8848;-43.3475;Zona Norte;15
ENCANTADO;-22.8933;-43.2981;Zona Norte;15
VILA KOSMOS;-22.9068;-43.1729;Centro;15
ENGENHEIRO LEAL;-22.8733;-43.2836;Zona Norte;14
JACAREZINHO;-22.9068;-43.1729;Centro;14
LEBLON;-22.9844;-43.2186;Zona Sul;14
VILA KENNEDY;-22.9068;-43.1729;Centro;14
ROCINHA;-22.9068;-43.1729;Centro;14
AGUA SANTA;-22.9177;-43.3119;Zona Norte;14
CURICICA;-22.9847;-43.3608;Zona Oeste;12
JARDIM SULACAP;-22.9068;-43.1729;Centro;12
FLAMENGO;-22.9361;-43.1756;Zona Sul;12
TAUA;-22.9068;-43.1729;Centro;12
VIDIGAL;-22.9068;-43.1729;Centro;12
LEME;-22.9656;-43.1675;Zona Sul;11
VARGEM GRANDE;-22.9068;-43.1729;Centro;10
LARANJEIRAS;-22.935;-43.1903;Zona Sul;10
VARGEM PEQUENA;-22.9844;-43.4989;Zona Oeste;9
GALEAO;-22.9068;-43.1729;Centro;9
HUMAITA;-22.9068;-43.1729;Centro;9
SENADOR CAMARÁ;-22.8992;-43.4906;Zona Oeste;9
VILA MILITAR;-22.9068;-43.1729;Centro;8
GAVEA;-22.9789;-43.2294;Zona Sul;8
TURIAÇU;-22.82;-43.32;Zona Norte;8
VIGÁRIO GERAL;-22.8083;-43.3258;Zona Norte;8
PECHINCHA;-22.9068;-43.1729;Centro;8
ITANHANGA;-22.9068;-43.1729;Centro;8
JARDIM GUANABARA;-22.9068;-43.1729;Centro;7
TODOS OS SANTOS;-22.8936;-43.2917;Zona Norte;7
SANTO CRISTO;-22.8994;-43.2086;Zona PortuÃ¡ria;7
PACIÊNCIA;-22.9273;-43.6366;Zona Oeste;7
SAO FRANCISCO XAVIER;-22.9068;-43.1729;Centro;7
MARACANA;-22.9121;-43.2302;Zona Norte;7
BANCARIOS;-22.9068;-43.1729;Centro;6
GLORIA;-22.9219;-43.1758;Centro;6
DENDE;-22.9068;-43.1729;Centro;6
INHAÚMA;-22.8747;-43.2825;Zona Norte;6
TUBIACANGA;-22.9068;-43.1729;Centro;6
JARDIM CARIOCA;-22.9068;-43.1729;Centro;6
CATETE;-22.9068;-43.1729;Centro;6
CAVALCANTE;-22.9068;-43.1729;Centro;6
PITANGUEIRAS;-22.9068;-43.1729;Centro;6
GARDENIA AZUL;-22.9068;-43.1729;Centro;6
GAMBOA;-22.9068;-43.1729;Centro;6
MARÉ;-22.8615;-43.2433;Zona Norte;5
MARIA DA GRACA;-22.9068;-43.1729;Centro;5
SÃO CRISTÓVÃO;-22.8997;-43.2242;Zona Norte;5
PORTUGUESA;-22.9068;-43.1729;Centro;5
PRAÇA SECA;-22.8964;-43.3525;Zona Oeste;5
PARADA  DE LUCAS;-22.9068;-43.1729;Centro;5
CAMPO  GRANDE;-22.9068;-43.1729;Centro;5
ANIL;-22.9068;-43.1729;Centro;5
ABOLICAO;-22.8861;-43.3003;Zona Norte;5
SANTA  CRUZ;-22.9068;-43.1729;Centro;4
QUINTINO;-22.9068;-43.1729;Centro;4
RECREIO;-22.9068;-43.1729;Centro;4
COCOTA;-22.9068;-43.1729;Centro;4
INHOAÍBA;-22.8981;-43.5419;Zona Oeste;4
COSME VELHO;-22.9068;-43.1729;Centro;4
LAGOA;-22.9068;-43.1729;Centro;4
JARDIM BOTANICO;-22.9686;-43.2242;Zona Sul;3
JACAREPAGUA    TAQUARA;-22.9068;-43.1729;Centro;3
JACAREPAGUA     TAQUARA;-22.9068;-43.1729;Centro;3
PRACA DA BANDEIRA;-22.9114;-43.2136;Centro;3
NILOPOLIS;-22.9068;-43.1729;Centro;3
CAMPÓ GRANDE;-22.9067;-43.5581;Zona Oeste;3
DUQUE DE CAXIAS;-22.9068;-43.1729;Centro;3
SÃO CRISTOVÃO;-22.8997;-43.2242;Zona Norte;3
JARDIM BANGU;-22.9068;-43.1729;Centro;3
ÁGUA SANTA;-22.9177;-43.3119;Zona Norte;3
LINS VASCONCELOS;-22.9068;-43.1729;Centro;3
BELFORD ROXO;-22.9068;-43.1729;Centro;2
RICARDO ALBUQUERQUE;-22.9068;-43.1729;Centro;2
ABOLIÇAO;-22.8861;-43.3003;Zona Norte;2
BARRA DE  GUARATIBA;-22.9068;-43.1729;Centro;2
LINS DE VASCONCELLOS;-22.9068;-43.1729;Centro;2
ZUMBI;-22.87;-43.27;Zona Norte;2
ABOLIÇÃO;-22.8861;-43.3003;Zona Norte;2
DUMAS;-22.9068;-43.1729;Centro;2
SULACAP;-22.9068;-43.1729;Centro;2
SAO JOAO DE MERITI;-22.9068;-43.1729;Centro;2
JACARÉ;-22.8958;-43.2587;Zona Norte;2
JAPERI;-22.9068;-43.1729;Centro;2
JACAREPAGUA-ANIL;-22.9068;-43.1729;Centro;2
SENADOR  CAMARA;-22.9068;-43.1729;Centro;2
PARQUE  ANCHIETA;-22.9068;-43.1729;Centro;2
PARQUE COLUMBIA;-22.9068;-43.1729;Centro;2
PARQUE COLUMBIA    PAVUNA;-22.9068;-43.1729;Centro;2
SÃO FRANCISCO XAVIER;-22.9068;-43.1729;Centro;2
CIDADE NOVA;-22.9131;-43.2081;Centro;2
SANTÍSSIMO;-22.8746;-43.5194;Zona Oeste;2
SAO CONRADO;-22.9997;-43.2708;Zona Sul;2
JACAREPAGUA    CURICICA;-22.9068;-43.1729;Centro;2
JACAREPAGUA   FREGUESIA;-22.9068;-43.1729;Centro;2
JACAREPAGUA   PECHINCHA;-22.9068;-43.1729;Centro;2
INHAOIBA;-22.9068;-43.1729;Centro;2
JACAREPAGUA  FREGUESIA;-22.9068;-43.1729;Centro;2
JACAREPAGUA - CIDADE DE DEUS;-22.9068;-43.1729;Centro;2
JACAREPAGUA     CIDADE DE DEUS;-22.9068;-43.1729;Centro;2
VASCO DA GAMA;-22.9068;-43.1729;Centro;2
NOVA HOLANDA;-22.9068;-43.1729;Centro;2
ICARAI;-22.9068;-43.1729;Centro;2
ESTÁCIO;-22.9136;-43.2035;Centro;2
SAUDE;-22.9068;-43.1729;Centro;2
NOVA IGUACU;-22.9068;-43.1729;Centro;2
GANGU;-22.9068;-43.1729;Centro;2
ITAGUAÍ;-22.9068;-43.1729;Centro;2
RIACHUELO;-22.9068;-43.1729;Centro;2
GUARABU;-22.9068;-43.1729;Centro;2
MARAPICU;-22.9068;-43.1729;Centro;2
1057;-22.9068;-43.1729;Centro;1
ACARÍ;-22.9068;-43.1729;Centro;1
ADRIANA;-22.9068;-43.1729;Centro;1
ANIL   JACAREPAGUA;-22.9068;-43.1729;Centro;1
ANIL  - JACAREPAGUA;-22.9068;-43.1729;Centro;1
ANIL - JACAREPAGUA;-22.9068;-43.1729;Centro;1
BARRO VERMELHO;-22.9068;-43.1729;Centro;1
BARROS FILHOS;-22.9068;-43.1729;Centro;1
JESUITAS - SANTA CRUZ;-22.9068;-43.1729;Centro;1
JKACAREPAGUA;-22.9068;-43.1729;Centro;1
JRECREIO DOS BANDEIRANTES;-22.9068;-43.1729;Centro;1
JD SULACAP;-22.9068;-43.1729;Centro;1
JD NS GRACAS   CAMPO GRANDE;-22.9068;-43.1729;Centro;1
MABGUINHOS;-22.9068;-43.1729;Centro;1
MAREECHAL HERMES;-22.9068;-43.1729;Centro;1
MANGARATIBA;-22.9068;-43.1729;Centro;1
MANGUARIBA;-22.9068;-43.1729;Centro;1
MANGUNHOS;-22.9068;-43.1729;Centro;1
MARACANÃ;-22.9121;-43.2302;Zona Norte;1
MAGALHÃES BASTOS;-22.8747;-43.4138;Zona Oeste;1
MAGE;-22.9068;-43.1729;Centro;1
MAGUEIRA;-22.9068;-43.1729;Centro;1
MAL. HERMES;-22.9068;-43.1729;Centro;1
MORRO GRANDE;-22.9068;-43.1729;Centro;1
MSRECHAL HERMES;-22.9068;-43.1729;Centro;1
MESQUITA;-22.9068;-43.1729;Centro;1
MIGUEL COUTO;-22.9068;-43.1729;Centro;1
MONERO;-22.9068;-43.1729;Centro;1
MENDANHA;-22.9068;-43.1729;Centro;1
MENDANHA - CAMPO GRANDE;-22.9068;-43.1729;Centro;1
NOVA ALIACA - BANGU;-22.9068;-43.1729;Centro;1
JARDIM GUANABARA   ILHA DO GOVERNADOR;-22.9068;-43.1729;Centro;1
MÉIER;-22.9019;-43.2783;Zona Norte;1
MURIQUI- MANGARATIBA;-22.9068;-43.1729;Centro;1
MUZEMA  -ITANHANGA;-22.9068;-43.1729;Centro;1
JARDIM NOVO;-22.9068;-43.1729;Centro;1
JARDIM NOVO REALENGO;-22.9068;-43.1729;Centro;1
NOVO MUNDO;-22.9068;-43.1729;Centro;1
PACIECIA;-22.9068;-43.1729;Centro;1
NOVA IGUAÇU;-22.9068;-43.1729;Centro;1
NOVA SEPETIBA;-22.9068;-43.1729;Centro;1
NOVA SEPETIBA 1;-22.9068;-43.1729;Centro;1
JARDIM MARAVILHA;-22.9068;-43.1729;Centro;1
JARDIM CARIOCA   ILHA DO GOVERNADOR;-22.9068;-43.1729;Centro;1
JARDIM BOM PASTOR BELFORDROXO;-22.9068;-43.1729;Centro;1
PARACAMBI;-22.9068;-43.1729;Centro;1
PARADA ANGELICA;-22.9068;-43.1729;Centro;1
PACIENCIA - VILA PACIENCIA;-22.9068;-43.1729;Centro;1
PADER MIGUEL;-22.9068;-43.1729;Centro;1
PADRE  MIGUEL;-22.9068;-43.1729;Centro;1
PADRE MI9GUEL;-22.9068;-43.1729;Centro;1
PALMARES;-22.9068;-43.1729;Centro;1
JARDIM AMÉRICA;-22.8105;-43.3232;Zona Norte;1
JACAREPAGUA   PRACA SECA;-22.9068;-43.1729;Centro;1
JACAREPAGUA   PRAÇA SECA;-22.9068;-43.1729;Centro;1
JACAREPAGUA   TANQUE;-22.9068;-43.1729;Centro;1
JACAREPAGUA   TAQUARA;-22.9068;-43.1729;Centro;1
JACAREPAGUA  TAQUARA;-22.9068;-43.1729;Centro;1
JACAREPAGUA - PRACA SECA;-22.9068;-43.1729;Centro;1
JACAREPAGUA - TANQUE;-22.9068;-43.1729;Centro;1
JACAREPAGUA-PRAÇA SECA;-22.9068;-43.1729;Centro;1
JACAREPAGUA    TANQUE;-22.9068;-43.1729;Centro;1
JACAREPAGUA    VILA OLIMPICA;-22.9068;-43.1729;Centro;1
JACAREPAGUA   CURICICA;-22.9068;-43.1729;Centro;1
JACAREPAGUA   GARDENIA AZUL;-22.9068;-43.1729;Centro;1
PARQUE UNIAO;-22.9068;-43.1729;Centro;1
ITANHAGA;-22.9068;-43.1729;Centro;1
ITANHANGA   JACAREPAGUA;-22.9068;-43.1729;Centro;1
PARQUE SAO JUDAS TADEU- PAVUNA;-22.9068;-43.1729;Centro;1
JACAREPAGUA-PÇA.SECA;-22.9068;-43.1729;Centro;1
JACAREPAGUIA;-22.9068;-43.1729;Centro;1
JACAREPÁGUA;-22.9678;-43.3917;Zona Oeste;1
PEDREGOSO - CAMPO GRANDE;-22.9068;-43.1729;Centro;1
INHAUMAS;-22.9068;-43.1729;Centro;1
JACAREPAGUA      FREGUESIA;-22.9068;-43.1729;Centro;1
JACAREPAGUA      PRAÇA SECA;-22.9068;-43.1729;Centro;1
JACAREPAGUA      TAQUARA;-22.9068;-43.1729;Centro;1
JACAREPAGUA     C. DE DEUS;-22.9068;-43.1729;Centro;1
JACAREPAGUA     PRAÇA SECA;-22.9068;-43.1729;Centro;1
JACAREPAGUA     TANQUE;-22.9068;-43.1729;Centro;1
JACAREPAGUA    - GARDENIA AZUL;-22.9068;-43.1729;Centro;1
JABOUR;-22.9068;-43.1729;Centro;1
JABOUR - BANGU;-22.9068;-43.1729;Centro;1
JACAREPAGUA        PRACA SECA;-22.9068;-43.1729;Centro;1
JACAREPAGUA       PRAÇA SECA;-22.9068;-43.1729;Centro;1
JACAREPAGUA       TAQUARA;-22.9068;-43.1729;Centro;1
JACAREPAGUA      C. DE DEUS;-22.9068;-43.1729;Centro;1
JACAREPAGUA      CURICICA;-22.9068;-43.1729;Centro;1
PQ ANCHIETA;-22.9068;-43.1729;Centro;1
IRAJÁ;-22.8317;-43.3239;Zona Norte;1
ITABORAI;-22.9068;-43.1729;Centro;1
ITAGUAI;-22.9068;-43.1729;Centro;1
ITAHANGA;-22.9068;-43.1729;Centro;1
INHOAIBA       VILAR CARIOCA;-22.9068;-43.1729;Centro;1
INHOAIBA NOVA CIDADE;-22.9068;-43.1729;Centro;1
INHOASIBA;-22.9068;-43.1729;Centro;1
IPIRANGA;-22.9068;-43.1729;Centro;1
I. GOVERNADOR;-22.9068;-43.1729;Centro;1
I.GOVERNADOR   JARDIM CARIOCA;-22.9068;-43.1729;Centro;1
IL DA PENHA;-22.9068;-43.1729;Centro;1
ILHA DE GUARATIBA;-22.9068;-43.1729;Centro;1
PRAÇA SECA   JACAREPAGUA;-22.9068;-43.1729;Centro;1
PRQ COLUMBIA    PAVUNA;-22.9068;-43.1729;Centro;1
PSCIENCIA;-22.9068;-43.1729;Centro;1
PÁCIENCIA;-22.9273;-43.6366;Zona Oeste;1
PÇACIENCIA;-22.9068;-43.1729;Centro;1
PÍLARES;-22.885;-43.3031;Zona Norte;1
H GURGEL;-22.9068;-43.1729;Centro;1
PRAÇA DA BANDEIRA;-22.9114;-43.2136;Centro;1
PRAÇA SECA    JACAREPAGUA;-22.9068;-43.1729;Centro;1
PRADOS VERDES;-22.9068;-43.1729;Centro;1
PRAIA DA BANDEIRA;-22.9068;-43.1729;Centro;1
RECREIO BANDERNTES;-22.9068;-43.1729;Centro;1
RECREIO DOS BANDERANTES;-22.9068;-43.1729;Centro;1
GALEÃO;-22.9068;-43.1729;Centro;1
GARDENIA AZUL - JACAREPAGUA;-22.9068;-43.1729;Centro;1
REALEANGO;-22.9068;-43.1729;Centro;1
REASLENGO;-22.9068;-43.1729;Centro;1
QUEIMADOS;-22.9068;-43.1729;Centro;1
QUINTINO BOCAIÚVA;-22.8958;-43.3192;Zona Norte;1
ILHA DO  GOVERNADOR;-22.9068;-43.1729;Centro;1
ILHA DO GOVERNEDOR;-22.9068;-43.1729;Centro;1
ILHA DO VOVERNADOR;-22.9068;-43.1729;Centro;1
SABTA CRUZ;-22.9068;-43.1729;Centro;1
SAJNTA CRUZ;-22.9068;-43.1729;Centro;1
SALGUEIRO;-22.9068;-43.1729;Centro;1
RICARDO DE ALBUQUQERQUE;-22.9068;-43.1729;Centro;1
RICARDO DE ALBURQUE;-22.9068;-43.1729;Centro;1
RICHUELO;-22.9068;-43.1729;Centro;1
RICRDO DE ALBUQUERQUE;-22.9068;-43.1729;Centro;1
RIO DA PRATA - CAMPO GRANDE;-22.9068;-43.1729;Centro;1
GUANDU DO SENA;-22.9068;-43.1729;Centro;1
GUARATIBA - CAMPO GRANDE;-22.9068;-43.1729;Centro;1
RIACHUELOO;-22.9068;-43.1729;Centro;1
RICARDO DE ALBUQUERUQE;-22.9068;-43.1729;Centro;1
FLEIXAL - GUAPIMIRIM;-22.9068;-43.1729;Centro;1
FAZENDA BOTAFOGO;-22.9068;-43.1729;Centro;1
SANTA CRRUZ;-22.9068;-43.1729;Centro;1
SANTA CRUZ -;-22.9068;-43.1729;Centro;1
SANTA CRUZ - BARRO VERMELHO;-22.9068;-43.1729;Centro;1
SANTA CRU\Z;-22.9068;-43.1729;Centro;1
SANTA CUZ;-22.9068;-43.1729;Centro;1
SAMPO GRANDE;-22.9068;-43.1729;Centro;1
SANTA CERUZ;-22.9068;-43.1729;Centro;1
ENGENHO DENTRO;-22.9068;-43.1729;Centro;1
ENGENHO DFA RAINHA;-22.9068;-43.1729;Centro;1
ENGENHO ITAGUAI;-22.9068;-43.1729;Centro;1
SANTISSMO;-22.9068;-43.1729;Centro;1
ENGENHEIRO PEDREIRA;-22.9068;-43.1729;Centro;1
SANTA.CRUZ;-22.9068;-43.1729;Centro;1
SANTACRUZ;-22.9068;-43.1729;Centro;1
FREGUESIA      JACAREPAGUA;-22.9068;-43.1729;Centro;1
FREGUESIA     JACAREPAGUA;-22.9068;-43.1729;Centro;1
FREGUESIA (ILHA DO GOVERNADOR);-22.9068;-43.1729;Centro;1
FREGUESIA / JACAREPAGUA;-22.9068;-43.1729;Centro;1
FREGUESIA JACAREPAGUA;-22.9068;-43.1729;Centro;1
FREQUESIA;-22.9068;-43.1729;Centro;1
FREQUESIA /   JACAREPAGUA;-22.9068;-43.1729;Centro;1
SAO GONÇALO;-22.9068;-43.1729;Centro;1
CURICICA     JACAREPAGUA;-22.9068;-43.1729;Centro;1
CURICICA    JACAREPAGUA;-22.9068;-43.1729;Centro;1
SAO GONCALO;-22.9068;-43.1729;Centro;1
ESTACIO 2;-22.9068;-43.1729;Centro;1
SANTSSIMO;-22.9068;-43.1729;Centro;1
COPA;-22.9068;-43.1729;Centro;1
COSMOS (LT STA MARGARIDA);-22.9068;-43.1729;Centro;1
COSMOS -  CAMPO GRANDE;-22.9068;-43.1729;Centro;1
SDENADOR CAMARA;-22.9068;-43.1729;Centro;1
SECAMPO GRANDE;-22.9068;-43.1729;Centro;1
SENADOR AUGUSTO VASCONCELOS;-22.9068;-43.1729;Centro;1
COMOS;-22.9068;-43.1729;Centro;1
CONCECAO DE JACAREI;-22.9068;-43.1729;Centro;1
SAO PEDRO DA ALDEIA;-22.9068;-43.1729;Centro;1
SAQUAREMA;-22.9068;-43.1729;Centro;1
ENGENGO DE DENTRO;-22.9068;-43.1729;Centro;1
CIDADE DE DEUS-JACAREPÁGUA;-22.9068;-43.1729;Centro;1
CIRCULAR DA PENHA;-22.9068;-43.1729;Centro;1
COELHO;-22.9068;-43.1729;Centro;1
SÃO CONRADO;-22.9997;-43.2708;Zona Sul;1
SÃO CRISTOVAO;-22.8997;-43.2242;Zona Norte;1
SEROPEDICA;-22.9068;-43.1729;Centro;1
SITIO DO PAI JOÃO;-22.9068;-43.1729;Centro;1
COSMOS - NOVA CONQUISTA;-22.9068;-43.1729;Centro;1
CURICICA       JACAREPAGUA;-22.9068;-43.1729;Centro;1
SENADOR VASCONCELLOS;-22.9068;-43.1729;Centro;1
SENADOR VASCONDELOS;-22.9068;-43.1729;Centro;1
SENSDOR CAMARA;-22.9068;-43.1729;Centro;1
SEPETRIBA;-22.9068;-43.1729;Centro;1
THOMAZ COELHO;-22.9068;-43.1729;Centro;1
TODOS SANTOS;-22.9068;-43.1729;Centro;1
CENTRO DO RIO;-22.9068;-43.1729;Centro;1
CENTRO NILOPOLIS;-22.9068;-43.1729;Centro;1
T;-22.9068;-43.1729;Centro;1
TANQUE    JACAREPAGUA;-22.9068;-43.1729;Centro;1
TAQUARA - JACAREPAGUA;-22.9068;-43.1729;Centro;1
TAUA ILHA DO GOVERNADOR;-22.9068;-43.1729;Centro;1
THOMAS COELHO;-22.9068;-43.1729;Centro;1
COMENDADOR MARTINELLI;-22.9068;-43.1729;Centro;1
SÃO FEANCISCO XAVIER;-22.9068;-43.1729;Centro;1
SÃO FRANCISCO DO CROARA;-22.9068;-43.1729;Centro;1
COELHO DA ROCHA;-22.9068;-43.1729;Centro;1
COLEHO NETO;-22.9068;-43.1729;Centro;1
COLÉGIO;-22.8426;-43.3363;Zona Norte;1
CANTAGALO;-22.9068;-43.1729;Centro;1
CASAMPAIO;-22.9068;-43.1729;Centro;1
CANPO GRANDE;-22.9068;-43.1729;Centro;1
TOMAZ COELHO;-22.9068;-43.1729;Centro;1
TUBIACANGA - ILHA DO GOVERNADOR;-22.9068;-43.1729;Centro;1
CEZARAO;-22.9068;-43.1729;Centro;1
CAMGO GRANDE;-22.9068;-43.1729;Centro;1
CAMORIM;-22.9068;-43.1729;Centro;1
VERIDIANA;-22.9068;-43.1729;Centro;1
VIL VALQUEIRE;-22.9068;-43.1729;Centro;1
VILA ALIANCA - BANGU;-22.9068;-43.1729;Centro;1
CASCADURUA;-22.9068;-43.1729;Centro;1
CATIRI;-22.87;-43.63;Zona Oeste;1
CAVALCANTIO;-22.9068;-43.1729;Centro;1
VASCONCELOS;-22.9068;-43.1729;Centro;1
VAZ  LOBO;-22.9068;-43.1729;Centro;1
BENTO  RIBEIRO;-22.9068;-43.1729;Centro;1
BOA ESPERANÇA;-22.9068;-43.1729;Centro;1
VILA DO PINHEIRO, MARÉ;-22.9068;-43.1729;Centro;1
VILA COSMOS;-22.9068;-43.1729;Centro;1
CAMORIM    JACAREPAGUA;-22.9068;-43.1729;Centro;1
CAMORIM  TAQUARA;-22.9068;-43.1729;Centro;1
CAMPO FRANDE;-22.9068;-43.1729;Centro;1
CAMPO GRANDE   DIANA;-22.9068;-43.1729;Centro;1
CAMPO GRANDE - CONDOMINIO PARQUE ROMA;-22.9068;-43.1729;Centro;1
CAMPO GRANDE - TINGUI;-22.9068;-43.1729;Centro;1
CAMPO GRANDWE;-22.9068;-43.1729;Centro;1
CAMPO GREANDE;-22.9068;-43.1729;Centro;1
BANGU     CONJ. CALIFORNIA 13;-22.9068;-43.1729;Centro;1
BANGU - NOVA ALIANCA;-22.9068;-43.1729;Centro;1
BANGU - VILA KENEDY;-22.9068;-43.1729;Centro;1
BANGU III;-22.9068;-43.1729;Centro;1
VILA KANNEDY;-22.9068;-43.1729;Centro;1
VILA KENEDY;-22.9068;-43.1729;Centro;1
VILA KENNEWDY;-22.9068;-43.1729;Centro;1
BANCÁRIOS;-22.9068;-43.1729;Centro;1
VILA IASABEL;-22.9068;-43.1729;Centro;1
BONSSUCESSO;-22.9068;-43.1729;Centro;1
BONSUCEESO;-22.9068;-43.1729;Centro;1
BONSUCESSO (MARE);-22.9068;-43.1729;Centro;1
ANDARAÍ;-22.9249;-43.2542;Zona Norte;1
