LOCALIDADE;LATITUDE;LONGITUDE;REGIAO;STATUS;QTD_REGISTROS
MEIER;-22.9019;-43.2783;Zona Norte;BAIRRO RJ;40
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;39
BARROS FILHO;-22.9068;-43.1729;Centro;BAIRRO RJ;39
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;39
QUINTINO BOCAIUVA;-22.8958;-43.3192;Zona Norte;BAIRRO RJ;39
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;38
HONORIO GURGEL;-22.9068;-43.1729;Centro;BAIRRO RJ;37
BRAS DE PINA;-22.9068;-43.1729;Centro;BAIRRO RJ;37
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;36
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;35
CATUMBI;-22.9068;-43.1729;Centro;BAIRRO RJ;34
TAQUARA;-22.9068;-43.1729;Centro;BAIRRO RJ;33
BARRA DE GUARATIBA;-22.9068;-43.1729;Centro;BAIRRO RJ;33
RECREIO DOS BANDEIRANTES;-23.0203;-43.4658;Zona Oeste;BAIRRO RJ;33
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;FORA DO MUNICIPIO;33
VICENTE DE CARVALHO;-22.9068;-43.1729;Centro;BAIRRO RJ;32
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;FORA DO MUNICIPIO;32
CACHAMBI;-22.8875;-43.2756;Zona Norte;BAIRRO RJ;32
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;32
NILOPOLIS;-22.8058;-43.4233;Baixada Fluminense;FORA DO MUNICIPIO;31
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;31
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;31
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;30
VAZ LOBO;-22.9068;-43.1729;Centro;BAIRRO RJ;29
BENFICA;-22.8944;-43.2392;Zona Norte;BAIRRO RJ;28
BARRA DA TIJUCA;-23.0064;-43.3647;Zona Oeste;BAIRRO RJ;28
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;28
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;27
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;27
MANGUINHOS;-22.9068;-43.1729;Centro;BAIRRO RJ;27
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;26
PARACAMBI;-22.6078;-43.7108;Baixada Fluminense;FORA DO MUNICIPIO;26
BRAZ DE PINA;-22.9068;-43.1729;Centro;BAIRRO RJ;25
PARADA DE LUCAS;-22.9068;-43.1729;Centro;BAIRRO RJ;25
CAVALCANTI;-22.9068;-43.1729;Centro;BAIRRO RJ;24
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;24
JARDIM AMERICA;-22.8105;-43.3232;Zona Norte;BAIRRO RJ;24
PAQUETA;-22.7601;-43.1094;Ilha de Paquetá;BAIRRO RJ;23
TURIACU;-22.82;-43.32;Zona Norte;BAIRRO RJ;23
BOTAFOGO;-22.9497;-43.1828;Zona Sul;BAIRRO RJ;23
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;23
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;23
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;22
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;22
SENADOR  VASCONCELOS;-22.9068;-43.1729;Centro;BAIRRO RJ;22
SANTA TERESA;-22.9068;-43.1729;Centro;BAIRRO RJ;22
VILA DA PENHA;-22.8381;-43.3161;Zona Norte;BAIRRO RJ;22
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;22
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;22
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;22
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;21
DEL CASTILHO;-22.8753;-43.2789;Zona Norte;BAIRRO RJ;21
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;21
IPANEMA;-22.9847;-43.2044;Zona Sul;BAIRRO RJ;21
ACARI;-22.9068;-43.1729;Centro;BAIRRO RJ;21
GRAJAU;-22.9236;-43.2637;Zona Norte;BAIRRO RJ;20
SAMPAIO;-22.9068;-43.1729;Centro;BAIRRO RJ;19
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;FORA DO MUNICIPIO;19
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;19
ALTO DA BOA VISTA;-22.9667;-43.2833;Zona Oeste;BAIRRO RJ;19
CENTRO;-22.9068;-43.1729;Centro;BAIRRO RJ;18
FREGUESIA;-22.9333;-43.3333;Zona Oeste;BAIRRO RJ;18
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;18
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;18
HIGIENOPOLIS;-22.9068;-43.1729;Centro;BAIRRO RJ;17
ROCHA;-22.905;-43.2419;Zona Norte;BAIRRO RJ;17
PRACA SECA;-22.8964;-43.3525;Zona Oeste;BAIRRO RJ;17
PARQUE ANCHIETA;-22.9068;-43.1729;Centro;BAIRRO RJ;17
CAJU;-22.8808;-43.2197;Zona PortuÃ¡ria;BAIRRO RJ;17
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;17
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;17
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;17
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;16
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;16
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;FORA DO MUNICIPIO;16
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;16
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;16
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;FORA DO MUNICIPIO;16
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;15
TANQUE;-22.9139;-43.3614;Zona Oeste;BAIRRO RJ;15
CAMPINHO;-22.8848;-43.3475;Zona Norte;BAIRRO RJ;15
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;15
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;15
ENCANTADO;-22.8933;-43.2981;Zona Norte;BAIRRO RJ;15
VILA KOSMOS;-22.9068;-43.1729;Centro;BAIRRO RJ;15
CACUIA;-22.9068;-43.1729;Centro;BAIRRO RJ;15
VISTA ALEGRE;-22.83;-43.3383;Zona Norte;BAIRRO RJ;15
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;15
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;14
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;14
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;14
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;14
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;14
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;14
VILA KENNEDY;-22.9068;-43.1729;Centro;BAIRRO RJ;14
AGUA SANTA;-22.9177;-43.3119;Zona Norte;BAIRRO RJ;14
LEBLON;-22.9844;-43.2186;Zona Sul;BAIRRO RJ;14
ROCINHA;-22.9068;-43.1729;Centro;BAIRRO RJ;14
ENGENHEIRO LEAL;-22.8733;-43.2836;Zona Norte;BAIRRO RJ;14
JACAREZINHO;-22.9068;-43.1729;Centro;BAIRRO RJ;14
NITEROI;-22.8832;-43.1034;Grande Niterói;FORA DO MUNICIPIO;13
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;13
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;13
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;FORA DO MUNICIPIO;13
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;13
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;FORA DO MUNICIPIO;13
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;13
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;13
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;13
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;12
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;12
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;12
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;12
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;12
NILOPOLIS;-22.8058;-43.4233;Baixada Fluminense;FORA DO MUNICIPIO;12
FLAMENGO;-22.9361;-43.1756;Zona Sul;BAIRRO RJ;12
VIDIGAL;-22.9068;-43.1729;Centro;BAIRRO RJ;12
CURICICA;-22.9847;-43.3608;Zona Oeste;BAIRRO RJ;12
TAUA;-22.9068;-43.1729;Centro;BAIRRO RJ;12
JARDIM SULACAP;-22.9068;-43.1729;Centro;BAIRRO RJ;12
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;FORA DO MUNICIPIO;11
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;11
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;11
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;11
LEME;-22.9656;-43.1675;Zona Sul;BAIRRO RJ;11
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;11
LARANJEIRAS;-22.935;-43.1903;Zona Sul;BAIRRO RJ;10
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;10
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;10
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;10
VARGEM GRANDE;-22.9068;-43.1729;Centro;BAIRRO RJ;10
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;10
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;10
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;10
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;FORA DO MUNICIPIO;10
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;10
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;10
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;10
SENADOR CAMARÁ;-22.8992;-43.4906;Zona Oeste;BAIRRO RJ;9
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;FORA DO MUNICIPIO;9
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;9
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;9
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;9
ITAGUAI;-22.8636;-43.7753;Costa Verde / Metropolitana;FORA DO MUNICIPIO;9
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;9
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;9
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;9
GALEAO;-22.9068;-43.1729;Centro;BAIRRO RJ;9
HUMAITA;-22.9068;-43.1729;Centro;BAIRRO RJ;9
VARGEM PEQUENA;-22.9844;-43.4989;Zona Oeste;BAIRRO RJ;9
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;9
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;8
VILA MILITAR;-22.9068;-43.1729;Centro;BAIRRO RJ;8
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;8
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;8
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;8
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;8
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;8
TURIAÇU;-22.82;-43.32;Zona Norte;BAIRRO RJ;8
VIGÁRIO GERAL;-22.8083;-43.3258;Zona Norte;BAIRRO RJ;8
GAVEA;-22.9789;-43.2294;Zona Sul;BAIRRO RJ;8
ITANHANGA;-22.9068;-43.1729;Centro;BAIRRO RJ;8
PECHINCHA;-22.9068;-43.1729;Centro;BAIRRO RJ;8
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;8
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;FORA DO MUNICIPIO;8
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;8
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;8
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;8
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;8
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;8
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;8
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;8
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;8
MIGUEL PEREIRA;-22.4537;-43.4682;Centro-Sul Fluminense;FORA DO MUNICIPIO;7
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;7
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;7
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;7
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;7
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;7
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;7
MANGARATIBA;-22.9599;-44.0409;Costa Verde;FORA DO MUNICIPIO;7
MAGE;-22.6556;-43.0402;Baixada Fluminense;FORA DO MUNICIPIO;7
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;7
PACIÊNCIA;-22.9273;-43.6366;Zona Oeste;BAIRRO RJ;7
SAO FRANCISCO XAVIER;-22.9068;-43.1729;Centro;BAIRRO RJ;7
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;7
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;7
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;7
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;7
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;7
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;7
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;7
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;7
MARACANA;-22.9121;-43.2302;Zona Norte;BAIRRO RJ;7
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;7
JARDIM GUANABARA;-22.9068;-43.1729;Centro;BAIRRO RJ;7
TODOS OS SANTOS;-22.8936;-43.2917;Zona Norte;BAIRRO RJ;7
SANTO CRISTO;-22.8994;-43.2086;Zona PortuÃ¡ria;BAIRRO RJ;7
ITAGUAI;-22.8636;-43.7753;Costa Verde / Metropolitana;FORA DO MUNICIPIO;7
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;7
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;7
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;7
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;7
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;7
NITEROI;-22.8832;-43.1034;Grande Niterói;FORA DO MUNICIPIO;7
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;7
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;7
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;6
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;FORA DO MUNICIPIO;6
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;6
TUBIACANGA;-22.9068;-43.1729;Centro;BAIRRO RJ;6
GAMBOA;-22.9068;-43.1729;Centro;BAIRRO RJ;6
DENDE;-22.9068;-43.1729;Centro;BAIRRO RJ;6
INHAÚMA;-22.8747;-43.2825;Zona Norte;BAIRRO RJ;6
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;6
NILOPOLIS;-22.8058;-43.4233;Baixada Fluminense;FORA DO MUNICIPIO;6
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;6
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;6
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;FORA DO MUNICIPIO;6
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;6
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;FORA DO MUNICIPIO;6
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;FORA DO MUNICIPIO;6
JAPERI;-22.6431;-43.6533;Baixada Fluminense;FORA DO MUNICIPIO;6
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;6
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;6
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;6
NILOPOLIS;-22.8058;-43.4233;Baixada Fluminense;FORA DO MUNICIPIO;6
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;6
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;FORA DO MUNICIPIO;6
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;6
SAO GONCALO;-22.8268;-43.0634;Grande Niterói;FORA DO MUNICIPIO;6
CABO FRIO;-22.8894;-42.0286;Região dos Lagos;FORA DO MUNICIPIO;6
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;6
GARDENIA AZUL;-22.9068;-43.1729;Centro;BAIRRO RJ;6
PITANGUEIRAS;-22.9068;-43.1729;Centro;BAIRRO RJ;6
GLORIA;-22.9219;-43.1758;Centro;BAIRRO RJ;6
